Program,buy_date,cohort_start_date,days_to_start,month_sale,month_start,month_diff,null_month,one_month,two_month,three_month,four_month,five_month,six_month,seven_month,eigth_month
FS,11/04/2023,11/04/2023,0,4,4,0,1,0,0,0,0,0,0,0,0
FS,11/04/2023,11/04/2023,0,4,4,0,1,0,0,0,0,0,0,0,0
FS,29/02/2024,4/03/2024,4,2,3,0,1,0,0,0,0,0,0,0,0
FS,23/02/2023,6/03/2023,11,2,3,0,1,0,0,0,0,0,0,0,0
FS,31/03/2023,11/04/2023,11,3,4,0,1,0,0,0,0,0,0,0,0
FS,13/07/2023,24/07/2023,11,7,7,0,1,0,0,0,0,0,0,0,0
FS,14/06/2023,26/06/2023,12,6,6,0,1,0,0,0,0,0,0,0,0
DS,26/06/2024,8/07/2024,12,6,7,0,1,0,0,0,0,0,0,0,0
FS,30/11/2023,12/12/2023,12,11,12,0,1,0,0,0,0,0,0,0,0
FS,11/04/2023,24/04/2023,13,4,4,0,1,0,0,0,0,0,0,0,0
FS,11/04/2023,24/04/2023,13,4,4,0,1,0,0,0,0,0,0,0,0
FS,14/02/2024,27/02/2024,13,2,2,0,1,0,0,0,0,0,0,0,0
FS,11/07/2023,24/07/2023,13,7,7,0,1,0,0,0,0,0,0,0,0
FS,29/08/2023,11/09/2023,13,8,9,0,1,0,0,0,0,0,0,0,0
FS,28/03/2023,11/04/2023,14,3,4,0,1,0,0,0,0,0,0,0,0
FS,8/05/2023,22/05/2023,14,5,5,0,1,0,0,0,0,0,0,0,0
FS,8/05/2023,22/05/2023,14,5,5,0,1,0,0,0,0,0,0,0,0
FS,3/06/2024,17/06/2024,14,6,6,0,1,0,0,0,0,0,0,0,0
DS,4/09/2023,18/09/2023,14,9,9,0,1,0,0,0,0,0,0,0,0
FS,9/10/2023,23/10/2023,14,10,10,0,1,0,0,0,0,0,0,0,0
FS,18/03/2024,1/04/2024,14,3,4,0,1,0,0,0,0,0,0,0,0
FS,23/09/2024,7/10/2024,14,9,10,0,1,0,0,0,0,0,0,0,0
FS,29/04/2024,14/05/2024,15,4,5,1,0,1,0,0,0,0,0,0,0
FS,5/05/2023,22/05/2023,17,5,5,1,0,1,0,0,0,0,0,0,0
CS,8/11/2024,25/11/2024,17,11,11,1,0,1,0,0,0,0,0,0,0
FS,19/01/2024,5/02/2024,17,1,2,1,0,1,0,0,0,0,0,0,0
FS,17/05/2024,3/06/2024,17,5,6,1,0,1,0,0,0,0,0,0,0
FS,17/05/2024,3/06/2024,17,5,6,1,0,1,0,0,0,0,0,0,0
DS,21/06/2024,8/07/2024,17,6,7,1,0,1,0,0,0,0,0,0,0
DS,21/06/2024,8/07/2024,17,6,7,1,0,1,0,0,0,0,0,0,0
DS,21/06/2024,8/07/2024,17,6,7,1,0,1,0,0,0,0,0,0,0
FS,9/03/2023,27/03/2023,18,3,3,1,0,1,0,0,0,0,0,0,0
FS,26/01/2023,13/02/2023,18,1,2,1,0,1,0,0,0,0,0,0,0
FS,26/01/2023,13/02/2023,18,1,2,1,0,1,0,0,0,0,0,0,0
FS,4/05/2023,22/05/2023,18,5,5,1,0,1,0,0,0,0,0,0,0
FS,4/05/2023,22/05/2023,18,5,5,1,0,1,0,0,0,0,0,0,0
FS,30/06/2023,18/07/2023,18,6,7,1,0,1,0,0,0,0,0,0,0
FS,30/06/2023,18/07/2023,18,6,7,1,0,1,0,0,0,0,0,0,0
FS,6/07/2023,24/07/2023,18,7,7,1,0,1,0,0,0,0,0,0,0
FS,11/10/2024,29/10/2024,18,10,10,1,0,1,0,0,0,0,0,0,0
FS,11/10/2024,29/10/2024,18,10,10,1,0,1,0,0,0,0,0,0,0
FS,7/11/2024,25/11/2024,18,11,11,1,0,1,0,0,0,0,0,0,0
FS,25/04/2024,13/05/2024,18,4,5,1,0,1,0,0,0,0,0,0,0
FS,24/08/2023,11/09/2023,18,8,9,1,0,1,0,0,0,0,0,0,0
DS,19/09/2024,7/10/2024,18,9,10,1,0,1,0,0,0,0,0,0,0
FS,9/10/2024,28/10/2024,19,10,10,1,0,1,0,0,0,0,0,0,0
FS,9/10/2024,28/10/2024,19,10,10,1,0,1,0,0,0,0,0,0,0
FS,10/10/2024,29/10/2024,19,10,10,1,0,1,0,0,0,0,0,0,0
CS,6/11/2024,25/11/2024,19,11,11,1,0,1,0,0,0,0,0,0,0
FS,29/05/2024,17/06/2024,19,5,6,1,0,1,0,0,0,0,0,0,0
FS,23/08/2023,11/09/2023,19,8,9,1,0,1,0,0,0,0,0,0,0
FS,7/03/2023,27/03/2023,20,3,3,1,0,1,0,0,0,0,0,0,0
FS,24/01/2023,13/02/2023,20,1,2,1,0,1,0,0,0,0,0,0,0
FS,7/05/2024,27/05/2024,20,5,5,1,0,1,0,0,0,0,0,0,0
FS,4/07/2023,24/07/2023,20,7,7,1,0,1,0,0,0,0,0,0,0
FS,13/02/2024,4/03/2024,20,2,3,1,0,1,0,0,0,0,0,0,0
DS,12/03/2024,1/04/2024,20,3,4,1,0,1,0,0,0,0,0,0,0
FS,26/03/2024,15/04/2024,20,3,4,1,0,1,0,0,0,0,0,0,0
FS,23/04/2024,13/05/2024,20,4,5,1,0,1,0,0,0,0,0,0,0
FS,22/08/2023,11/09/2023,20,8,9,1,0,1,0,0,0,0,0,0,0
DS,17/09/2024,7/10/2024,20,9,10,1,0,1,0,0,0,0,0,0,0
FS,3/01/2023,24/01/2023,21,1,1,1,0,1,0,0,0,0,0,0,0
FS,13/02/2023,6/03/2023,21,2,3,1,0,1,0,0,0,0,0,0,0
FS,6/02/2024,27/02/2024,21,2,2,1,0,1,0,0,0,0,0,0,0
FS,1/04/2024,22/04/2024,21,4,4,1,0,1,0,0,0,0,0,0,0
FS,1/04/2024,22/04/2024,21,4,4,1,0,1,0,0,0,0,0,0,0
FS,2/10/2023,23/10/2023,21,10,10,1,0,1,0,0,0,0,0,0,0
FS,7/10/2024,28/10/2024,21,10,10,1,0,1,0,0,0,0,0,0,0
FS,4/11/2024,25/11/2024,21,11,11,1,0,1,0,0,0,0,0,0,0
FS,13/05/2024,3/06/2024,21,5,6,1,0,1,0,0,0,0,0,0,0
FS,25/09/2023,16/10/2023,21,9,10,1,0,1,0,0,0,0,0,0,0
DS,16/09/2024,7/10/2024,21,9,10,1,0,1,0,0,0,0,0,0,0
DS,30/10/2023,20/11/2023,21,10,11,1,0,1,0,0,0,0,0,0,0
FS,31/10/2023,21/11/2023,21,10,11,1,0,1,0,0,0,0,0,0,0
FS,11/11/2024,2/12/2024,21,11,12,1,0,1,0,0,0,0,0,0,0
FS,2/01/2023,24/01/2023,22,1,1,1,0,1,0,0,0,0,0,0,0
FS,31/03/2024,22/04/2024,22,3,4,1,0,1,0,0,0,0,0,0,0
FS,29/04/2023,22/05/2023,23,4,5,1,0,1,0,0,0,0,0,0,0
DS,27/01/2024,19/02/2024,23,1,2,1,0,1,0,0,0,0,0,0,0
DS,9/03/2024,1/04/2024,23,3,4,1,0,1,0,0,0,0,0,0,0
FS,20/01/2023,13/02/2023,24,1,2,1,0,1,0,0,0,0,0,0,0
FS,30/06/2023,24/07/2023,24,6,7,1,0,1,0,0,0,0,0,0,0
FS,30/06/2023,24/07/2023,24,6,7,1,0,1,0,0,0,0,0,0,0
FS,29/12/2023,22/01/2024,24,12,1,1,0,1,0,0,0,0,0,0,0
FS,19/01/2024,12/02/2024,24,1,2,1,0,1,0,0,0,0,0,0,0
FS,8/03/2024,1/04/2024,24,3,4,1,0,1,0,0,0,0,0,0,0
FS,10/05/2024,3/06/2024,24,5,6,1,0,1,0,0,0,0,0,0,0
FS,22/09/2023,16/10/2023,24,9,10,1,0,1,0,0,0,0,0,0,0
FS,2/02/2024,27/02/2024,25,2,2,1,0,1,0,0,0,0,0,0,0
FS,19/04/2024,14/05/2024,25,4,5,1,0,1,0,0,0,0,0,0,0
DS,26/10/2023,20/11/2023,25,10,11,1,0,1,0,0,0,0,0,0,0
FS,31/10/2024,25/11/2024,25,10,11,1,0,1,0,0,0,0,0,0,0
FS,17/11/2023,12/12/2023,25,11,12,1,0,1,0,0,0,0,0,0,0
FS,1/02/2024,27/02/2024,26,2,2,1,0,1,0,0,0,0,0,0,0
FS,7/02/2024,4/03/2024,26,2,3,1,0,1,0,0,0,0,0,0,0
FS,18/04/2024,14/05/2024,26,4,5,1,0,1,0,0,0,0,0,0,0
FS,22/05/2024,17/06/2024,26,5,6,1,0,1,0,0,0,0,0,0,0
FS,22/05/2024,17/06/2024,26,5,6,1,0,1,0,0,0,0,0,0,0
FS,15/11/2023,11/12/2023,26,11,12,1,0,1,0,0,0,0,0,0,0
FS,6/11/2024,2/12/2024,26,11,12,1,0,1,0,0,0,0,0,0,0
FS,6/11/2024,2/12/2024,26,11,12,1,0,1,0,0,0,0,0,0,0
FS,28/02/2023,27/03/2023,27,2,3,1,0,1,0,0,0,0,0,0,0
FS,28/03/2023,24/04/2023,27,3,4,1,0,1,0,0,0,0,0,0,0
FS,27/06/2023,24/07/2023,27,6,7,1,0,1,0,0,0,0,0,0,0
FS,1/10/2024,28/10/2024,27,10,10,1,0,1,0,0,0,0,0,0,0
FS,6/02/2024,4/03/2024,27,2,3,1,0,1,0,0,0,0,0,0,0
FS,6/02/2024,4/03/2024,27,2,3,1,0,1,0,0,0,0,0,0,0
FS,5/03/2024,1/04/2024,27,3,4,1,0,1,0,0,0,0,0,0,0
FS,25/06/2024,22/07/2024,27,6,7,1,0,1,0,0,0,0,0,0,0
FS,10/09/2024,7/10/2024,27,9,10,1,0,1,0,0,0,0,0,0,0
DS,22/10/2024,18/11/2024,27,10,11,1,0,1,0,0,0,0,0,0,0
FS,5/11/2024,2/12/2024,27,11,12,1,0,1,0,0,0,0,0,0,0
FS,5/11/2024,2/12/2024,27,11,12,1,0,1,0,0,0,0,0,0,0
FS,5/11/2024,2/12/2024,27,11,12,1,0,1,0,0,0,0,0,0,0
FS,5/11/2024,2/12/2024,27,11,12,1,0,1,0,0,0,0,0,0,0
FS,5/11/2024,2/12/2024,27,11,12,1,0,1,0,0,0,0,0,0,0
FS,6/02/2023,6/03/2023,28,2,3,1,0,1,0,0,0,0,0,0,0
FS,27/02/2023,27/03/2023,28,2,3,1,0,1,0,0,0,0,0,0,0
FS,29/05/2023,26/06/2023,28,5,6,1,0,1,0,0,0,0,0,0,0
FS,15/01/2024,12/02/2024,28,1,2,1,0,1,0,0,0,0,0,0,0
FS,15/01/2024,12/02/2024,28,1,2,1,0,1,0,0,0,0,0,0,0
DS,22/01/2024,19/02/2024,28,1,2,1,0,1,0,0,0,0,0,0,0
FS,5/02/2024,4/03/2024,28,2,3,1,0,1,0,0,0,0,0,0,0
FS,5/02/2024,4/03/2024,28,2,3,1,0,1,0,0,0,0,0,0,0
DS,4/03/2024,1/04/2024,28,3,4,1,0,1,0,0,0,0,0,0,0
FS,25/03/2024,22/04/2024,28,3,4,1,0,1,0,0,0,0,0,0,0
FS,29/04/2024,27/05/2024,28,4,5,1,0,1,0,0,0,0,0,0,0
FS,29/04/2024,27/05/2024,28,4,5,1,0,1,0,0,0,0,0,0,0
FS,20/05/2024,17/06/2024,28,5,6,1,0,1,0,0,0,0,0,0,0
FS,20/05/2024,17/06/2024,28,5,6,1,0,1,0,0,0,0,0,0,0
FS,16/09/2024,14/10/2024,28,9,10,1,0,1,0,0,0,0,0,0,0
FS,30/09/2024,28/10/2024,28,9,10,1,0,1,0,0,0,0,0,0,0
FS,4/11/2024,2/12/2024,28,11,12,1,0,1,0,0,0,0,0,0,0
FS,4/11/2024,2/12/2024,28,11,12,1,0,1,0,0,0,0,0,0,0
FS,4/11/2024,2/12/2024,28,11,12,1,0,1,0,0,0,0,0,0,0
FS,13/11/2023,12/12/2023,29,11,12,1,0,1,0,0,0,0,0,0,0
FS,24/02/2023,27/03/2023,31,2,3,1,0,1,0,0,0,0,0,0,0
FS,21/04/2023,22/05/2023,31,4,5,1,0,1,0,0,0,0,0,0,0
FS,21/04/2023,22/05/2023,31,4,5,1,0,1,0,0,0,0,0,0,0
DS,29/12/2023,29/01/2024,31,12,1,1,0,1,0,0,0,0,0,0,0
FS,12/01/2024,12/02/2024,31,1,2,1,0,1,0,0,0,0,0,0,0
DS,19/01/2024,19/02/2024,31,1,2,1,0,1,0,0,0,0,0,0,0
DS,19/01/2024,19/02/2024,31,1,2,1,0,1,0,0,0,0,0,0,0
FS,1/03/2024,1/04/2024,31,3,4,1,0,1,0,0,0,0,0,0,0
FS,5/04/2024,6/05/2024,31,4,5,1,0,1,0,0,0,0,0,0,0
FS,5/04/2024,6/05/2024,31,4,5,1,0,1,0,0,0,0,0,0,0
FS,5/04/2024,6/05/2024,31,4,5,1,0,1,0,0,0,0,0,0,0
FS,5/04/2024,6/05/2024,31,4,5,1,0,1,0,0,0,0,0,0,0
FS,26/04/2024,27/05/2024,31,4,5,1,0,1,0,0,0,0,0,0,0
FS,26/04/2024,27/05/2024,31,4,5,1,0,1,0,0,0,0,0,0,0
FS,3/05/2024,3/06/2024,31,5,6,1,0,1,0,0,0,0,0,0,0
FS,3/05/2024,3/06/2024,31,5,6,1,0,1,0,0,0,0,0,0,0
FS,17/05/2024,17/06/2024,31,5,6,1,0,1,0,0,0,0,0,0,0
FS,17/05/2024,17/06/2024,31,5,6,1,0,1,0,0,0,0,0,0,0
FS,17/05/2024,17/06/2024,31,5,6,1,0,1,0,0,0,0,0,0,0
CS,25/10/2024,25/11/2024,31,10,11,1,0,1,0,0,0,0,0,0,0
FS,25/10/2024,25/11/2024,31,10,11,1,0,1,0,0,0,0,0,0,0
FS,12/01/2023,13/02/2023,32,1,2,1,0,1,0,0,0,0,0,0,0
FS,23/03/2023,24/04/2023,32,3,4,1,0,1,0,0,0,0,0,0,0
FS,20/04/2023,22/05/2023,32,4,5,1,0,1,0,0,0,0,0,0,0
FS,25/05/2023,26/06/2023,32,5,6,1,0,1,0,0,0,0,0,0,0
DS,28/12/2023,29/01/2024,32,12,1,1,0,1,0,0,0,0,0,0,0
DS,18/01/2024,19/02/2024,32,1,2,1,0,1,0,0,0,0,0,0,0
FS,21/03/2024,22/04/2024,32,3,4,1,0,1,0,0,0,0,0,0,0
FS,2/05/2024,3/06/2024,32,5,6,1,0,1,0,0,0,0,0,0,0
FS,16/05/2024,17/06/2024,32,5,6,1,0,1,0,0,0,0,0,0,0
FS,22/08/2024,23/09/2024,32,8,9,1,0,1,0,0,0,0,0,0,0
FS,14/09/2023,16/10/2023,32,9,10,1,0,1,0,0,0,0,0,0,0
FS,12/09/2024,14/10/2024,32,9,10,1,0,1,0,0,0,0,0,0,0
FS,26/09/2024,28/10/2024,32,9,10,1,0,1,0,0,0,0,0,0,0
FS,26/10/2023,27/11/2023,32,10,11,1,0,1,0,0,0,0,0,0,0
FS,26/10/2023,27/11/2023,32,10,11,1,0,1,0,0,0,0,0,0,0
DS,17/10/2024,18/11/2024,32,10,11,1,0,1,0,0,0,0,0,0,0
CS,24/10/2024,25/11/2024,32,10,11,1,0,1,0,0,0,0,0,0,0
FS,10/11/2023,12/12/2023,32,11,12,1,0,1,0,0,0,0,0,0,0
DS,7/11/2024,9/12/2024,32,11,12,1,0,1,0,0,0,0,0,0,0
DS,7/11/2024,9/12/2024,32,11,12,1,0,1,0,0,0,0,0,0,0
DS,29/02/2024,1/04/2024,32,2,4,1,0,1,0,0,0,0,0,0,0
FS,31/10/2024,2/12/2024,32,10,12,1,0,1,0,0,0,0,0,0,0
FS,31/10/2024,2/12/2024,32,10,12,1,0,1,0,0,0,0,0,0,0
FS,31/10/2024,2/12/2024,32,10,12,1,0,1,0,0,0,0,0,0,0
DS,26/04/2023,29/05/2023,33,4,5,1,0,1,0,0,0,0,0,0,0
FS,21/08/2024,23/09/2024,33,8,9,1,0,1,0,0,0,0,0,0,0
FS,13/09/2023,16/10/2023,33,9,10,1,0,1,0,0,0,0,0,0,0
FS,25/09/2024,28/10/2024,33,9,10,1,0,1,0,0,0,0,0,0,0
FS,25/09/2024,28/10/2024,33,9,10,1,0,1,0,0,0,0,0,0,0
DS,18/10/2023,20/11/2023,33,10,11,1,0,1,0,0,0,0,0,0,0
DS,16/10/2024,18/11/2024,33,10,11,1,0,1,0,0,0,0,0,0,0
CS,23/10/2024,25/11/2024,33,10,11,1,0,1,0,0,0,0,0,0,0
FS,23/10/2024,25/11/2024,33,10,11,1,0,1,0,0,0,0,0,0,0
DS,30/08/2023,2/10/2023,33,8,10,1,0,1,0,0,0,0,0,0,0
FS,21/03/2023,24/04/2023,34,3,4,1,0,1,0,0,0,0,0,0,0
FS,21/03/2023,24/04/2023,34,3,4,1,0,1,0,0,0,0,0,0,0
FS,31/01/2023,6/03/2023,34,1,3,1,0,1,0,0,0,0,0,0,0
FS,12/12/2023,15/01/2024,34,12,1,1,0,1,0,0,0,0,0,0,0
DS,16/01/2024,19/02/2024,34,1,2,1,0,1,0,0,0,0,0,0,0
FS,24/01/2024,27/02/2024,34,1,2,1,0,1,0,0,0,0,0,0,0
FS,2/04/2024,6/05/2024,34,4,5,1,0,1,0,0,0,0,0,0,0
FS,2/04/2024,6/05/2024,34,4,5,1,0,1,0,0,0,0,0,0,0
FS,2/04/2024,6/05/2024,34,4,5,1,0,1,0,0,0,0,0,0,0
FS,9/04/2024,13/05/2024,34,4,5,1,0,1,0,0,0,0,0,0,0
FS,23/04/2024,27/05/2024,34,4,5,1,0,1,0,0,0,0,0,0,0
FS,14/05/2024,17/06/2024,34,5,6,1,0,1,0,0,0,0,0,0,0
FS,8/08/2023,11/09/2023,34,8,9,1,0,1,0,0,0,0,0,0,0
FS,22/08/2023,25/09/2023,34,8,9,1,0,1,0,0,0,0,0,0,0
DS,3/09/2024,7/10/2024,34,9,10,1,0,1,0,0,0,0,0,0,0
FS,24/09/2024,28/10/2024,34,9,10,1,0,1,0,0,0,0,0,0,0
FS,24/09/2024,28/10/2024,34,9,10,1,0,1,0,0,0,0,0,0,0
FS,25/09/2024,29/10/2024,34,9,10,1,0,1,0,0,0,0,0,0,0
FS,8/11/2023,12/12/2023,34,11,12,1,0,1,0,0,0,0,0,0,0
FS,8/11/2023,12/12/2023,34,11,12,1,0,1,0,0,0,0,0,0,0
FS,30/01/2024,4/03/2024,34,1,3,1,0,1,0,0,0,0,0,0,0
FS,30/04/2024,3/06/2024,34,4,6,1,0,1,0,0,0,0,0,0,0
FS,29/10/2024,2/12/2024,34,10,12,1,0,1,0,0,0,0,0,0,0
FS,9/01/2023,13/02/2023,35,1,2,1,0,1,0,0,0,0,0,0,0
FS,20/02/2023,27/03/2023,35,2,3,1,0,1,0,0,0,0,0,0,0
FS,30/01/2023,6/03/2023,35,1,3,1,0,1,0,0,0,0,0,0,0
FS,30/01/2023,6/03/2023,35,1,3,1,0,1,0,0,0,0,0,0,0
FS,30/01/2023,6/03/2023,35,1,3,1,0,1,0,0,0,0,0,0,0
FS,17/04/2023,22/05/2023,35,4,5,1,0,1,0,0,0,0,0,0,0
FS,18/12/2023,22/01/2024,35,12,1,1,0,1,0,0,0,0,0,0,0
FS,8/01/2024,12/02/2024,35,1,2,1,0,1,0,0,0,0,0,0,0
FS,18/03/2024,22/04/2024,35,3,4,1,0,1,0,0,0,0,0,0,0
FS,18/03/2024,22/04/2024,35,3,4,1,0,1,0,0,0,0,0,0,0
FS,8/04/2024,13/05/2024,35,4,5,1,0,1,0,0,0,0,0,0,0
FS,22/04/2024,27/05/2024,35,4,5,1,0,1,0,0,0,0,0,0,0
FS,22/04/2024,27/05/2024,35,4,5,1,0,1,0,0,0,0,0,0,0
FS,22/04/2024,27/05/2024,35,4,5,1,0,1,0,0,0,0,0,0,0
FS,11/09/2023,16/10/2023,35,9,10,1,0,1,0,0,0,0,0,0,0
FS,2/09/2024,7/10/2024,35,9,10,1,0,1,0,0,0,0,0,0,0
FS,2/09/2024,7/10/2024,35,9,10,1,0,1,0,0,0,0,0,0,0
FS,9/09/2024,14/10/2024,35,9,10,1,0,1,0,0,0,0,0,0,0
FS,9/09/2024,14/10/2024,35,9,10,1,0,1,0,0,0,0,0,0,0
FS,9/09/2024,14/10/2024,35,9,10,1,0,1,0,0,0,0,0,0,0
